ID,Source_Form_ID,Target_Form_ID,Comment,Subset,Example_ID
025036-eis-eys-past,025036-eis-eys-past-s,025036-eis-eys-past-t,"""-ess""/""-ass"" are Modern Korean descendants of ""-eys""",30sources,025036-eis-eys-past
025037-lkesi-lkesi-future,025037-lkesi-lkesi-future-s,025037-lkesi-lkesi-future-t,,30sources,025037-lkesi-lkesi-future
025026-lppenha-lppenha-avertive,025026-lppenha-lppenha-avertive-s,025026-lppenha-lppenha-avertive-t,,30sources,025026-lppenha-lppenha-avertive
025017-pat-pat-passive,025017-pat-pat-passive-s,025017-pat-pat-passive-t,,30sources,025017-pat-pat-passive
025018-eci-eci-passive,025018-eci-eci-passive-s,025018-eci-eci-passive-t,,30sources,025018-eci-eci-passive
025013-kes-kes-nominalizer,025013-kes-kes-nominalizer-s,025013-kes-kes-nominalizer-t,,30sources,025013-kes-kes-nominalizer
025045-tikyeng-cikyeng-nominalizer,025045-tikyeng-cikyeng-nominalizer-s,025045-tikyeng-cikyeng-nominalizer-t,,othersources,025045-tikyeng-cikyeng-nominalizer
014017-autoo-autoo-agreement,014017-autoo-autoo-agreement-s,014017-autoo-autoo-agreement-t,,othersources,014017-autoo-autoo-agreement
014005-hqad-hat-locative,014005-hqad-hat-locative-s,014005-hqad-hat-locative-t,"general locative meaning: 'at, on, in'",30sources,014005-hqad-hat-locative
018045-ko-ko-bnecessity,018045-ko-ko-bnecessity-s,018045-ko-ko-bnecessity-t,Target Meaning also: QUOTATIVE,30sources,018045-ko-ko-bnecessity
011026-raaa-raaa-progressive,011026-raaa-raaa-progressive-s,011026-raaa-raaa-progressive-t,"the locative copula originally means 'be located, be inside'",30sources,011026-raaa-raaa-progressive
011016-vujiz-vujiz-causative,011016-vujiz-vujiz-causative-s,011016-vujiz-vujiz-causative-t,the lexical verb takes the form of the infinitive,30sources,011016-vujiz-vujiz-causative
011013-liji-liji-ordinalnumeral,011013-liji-liji-ordinalnumeral-s,011013-liji-liji-ordinalnumeral-t,,30sources,011013-liji-liji-ordinalnumeral
011030-ija-ija-future,011030-ija-ija-future-s,011030-ija-ija-future-t,,30sources,011030-ija-ija-future
023058-aiwakaka-ek-indefinite,023058-aiwakaka-ek-indefinite-s,023058-aiwakaka-ek-indefinite-t,,30sources,023058-aiwakaka-ek-indefinite
023010-aka-ak-definite,023010-aka-ak-definite-s,023010-aka-ak-definite-t,,othersources,023010-aka-ak-definite
011025-naawa-nwa-perfectaspect,011025-naawa-nwa-perfectaspect-s,011025-naawa-nwa-perfectaspect-t,"the locative copula originally means 'be located, be inside'",30sources,011025-naawa-nwa-perfectaspect
011033-zama-zma-durative,011033-zama-zma-durative-s,011033-zama-zma-durative-t,,othersources,011033-zama-zma-durative
011044-qiu-qiu-iterative,011044-qiu-qiu-iterative-s,011044-qiu-qiu-iterative-t,,othersources,011044-qiu-qiu-iterative
011062-pataldi-pataldi-benefactive,011062-pataldi-pataldi-benefactive-s,011062-pataldi-pataldi-benefactive-t,,30sources,011062-pataldi-pataldi-benefactive
011050-luhuz-luhuz-complementizer,011050-luhuz-luhuz-complementizer-s,011050-luhuz-luhuz-complementizer-t,Target Meaning also: PURPOSE/REASON SUBORDINATOR,30sources,011050-luhuz-luhuz-complementizer
011006-xajitani-xajitani-indefinite,011006-xajitani-xajitani-indefinite-s,011006-xajitani-xajitani-indefinite-t,the marker derives indefinite pronouns from interrogative ones,30sources,011006-xajitani-xajitani-indefinite
011038-luhuda-lda-evidentialreported,011038-luhuda-lda-evidentialreported-s,011038-luhuda-lda-evidentialreported-t,,30sources,011038-luhuda-lda-evidentialreported
011010-sa-sa-pronounnegation,011010-sa-sa-pronounnegation-s,011010-sa-sa-pronounnegation-t,the marker derives negative pronouns from interrogative ones (in combination with verbal negation),othersources,011010-sa-sa-pronounnegation
011042-taak-taak-verificative,011042-taak-taak-verificative-s,011042-taak-taak-verificative-t,,30sources,011042-taak-taak-verificative
011023-na-na-past,011023-na-na-past-s,011023-na-na-past-t,,othersources,011023-na-na-past
011020-xun-xun-anticausative,011020-xun-xun-anticausative-s,011020-xun-xun-anticausative-t,,30sources,011020-xun-xun-anticausative
011046-s-z-infinitive,011046-s-z-infinitive-s,011046-s-z-infinitive-t,,othersources,011046-s-z-infinitive
008022-das-das-exist,008022-das-das-exist-s,008022-das-das-exist-t,upper Sorbian form: dać,30sources,008022-das-das-exist
008021-das-das-hortative,008021-das-das-hortative-s,008021-das-das-hortative-t,,30sources,008021-das-das-hortative
023007-gala-gal-plural,023007-gala-gal-plural-s,023007-gala-gal-plural-t,source not very certain,othersources,023007-gala-gal-plural
008025-nehati-neka-concessiveconjunction,008025-nehati-neka-concessiveconjunction-s,008025-nehati-neka-concessiveconjunction-t,also in Slovak as nech,othersources,008025-nehati-neka-concessiveconjunction
008001-ov-ov-definite,008001-ov-ov-definite-s,008001-ov-ov-definite-t,"deictic contrast: -ov / -on / -ot; the DEFINITE article always attaches enclitically to the first word of the phrase. In this respect it abides to general clitic rules of these languages. The same applies to Bulgarian, however without deictic contrast (only -ot).",30sources,008001-ov-ov-definite
024003-ia-a-definite,024003-ia-a-definite-s,024003-ia-a-definite-t,,othersources,024003-ia-a-definite
009017-ugi-gi-associatedmotion,009017-ugi-gi-associatedmotion-s,009017-ugi-gi-associatedmotion-t,,othersources,009017-ugi-gi-associatedmotion
022004-wan-wan-resultativeaspect,022004-wan-wan-resultativeaspect-s,022004-wan-wan-resultativeaspect-t,It can be singled out for FOCUS and addressed by yes/no questions.,othersources,022004-wan-wan-resultativeaspect
022005-liao-le-perfective,022005-liao-le-perfective-s,022005-liao-le-perfective-t,,30sources,022005-liao-le-perfective
022006-lai-le-perfectaspect,022006-lai-le-perfectaspect-s,022006-lai-le-perfectaspect-t,,30sources,022006-lai-le-perfectaspect
022007-zhuo-zhe-durative,022007-zhuo-zhe-durative-s,022007-zhuo-zhe-durative-t,,othersources,022007-zhuo-zhe-durative
022009-zai-zai-progressive,022009-zai-zai-progressive-s,022009-zai-zai-progressive-t,,othersources,022009-zai-zai-progressive
022010-guo-guo-experiential,022010-guo-guo-experiential-s,022010-guo-guo-experiential-t,,othersources,022010-guo-guo-experiential
022011-dao-dao-resultativeaspect,022011-dao-dao-resultativeaspect-s,022011-dao-dao-resultativeaspect-t,"As a RESULTATIVE complement, dào is not always addressable. Compared to wán 'finish', it has a more abstract meaning in many RESULTATIVE constructions. RESULTATIVE complements are referred to as ""bound lexical root"" (Packard 2011)",othersources,022011-dao-dao-resultativeaspect
022022-jian-jian-resultativeaspect,022022-jian-jian-resultativeaspect-s,022022-jian-jian-resultativeaspect-t,,30sources,022022-jian-jian-resultativeaspect
022033-shang-shang-perfective,022033-shang-shang-perfective-s,022033-shang-shang-perfective-t,,othersources,022033-shang-shang-perfective
022001-ba-ba-patientcase,022001-ba-ba-patientcase-s,022001-ba-ba-patientcase-t,,30sources,022001-ba-ba-patientcase
022012-dao-dao-untilcaseconjunction,022012-dao-dao-untilcaseconjunction-s,022012-dao-dao-untilcaseconjunction-t,,othersources,022012-dao-dao-untilcaseconjunction
022016-gei-gei-recipientcase,022016-gei-gei-recipientcase-s,022016-gei-gei-recipientcase-t,,30sources,022016-gei-gei-recipientcase
022027-gen-gen-comitative,022027-gen-gen-comitative-s,022027-gen-gen-comitative-t,,30sources,022027-gen-gen-comitative
