ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Source_comment
brazilianportuguese,Brazilian Portuguese,Eurasia,,,braz1246,,,Michela Cennamo (Romance [Indo-European])
budugh,Budugh,Eurasia,41.2272,48.3353,budu1248,bdk,,Timur Maisak (Lezgic [Northeast Caucasian])
bulgarian,Bulgarian,Eurasia,43.3646,25.047,bulg1262,bul,,Björn Wiemer (Slavic [Indo-European])
catalan,Catalan,Eurasia,41.453,1.569,stan1289,cat,,Michela Cennamo (Romance [Indo-European])
cherokee,Cherokee,North America,35.4664,-83.163,cher1273,chr,,Marianne Mithun (Iroquoian)
chorasmian,Chorasmian,Eurasia,41.68,60.75,khwa1238,xco,,Agnes Korn (Iranian [Indo-European])
creolese,Creolese,South America,9.0,-62.0,creo1235,gyn,,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
croatianserbian,Croatian/Serbian,Eurasia,44.15,18.81,sout1528,hbs,,Björn Wiemer (Slavic [Indo-European])
czech,Czech,Eurasia,49.873398,15.10437,czec1258,ces,,Björn Wiemer (Slavic [Indo-European])
dakhinihindi,Dakhini Hindi,Eurasia,,,dakh1243,,,Annie Montaut (Indo-Aryan [Indo-European))
diuindoportuguese,Diu Indo-Portuguese,Eurasia,20.396759,72.84146,dama1278,idb,,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
earlyjudeopersian,Early Judeo-Persian,Eurasia,31.45071,43.57147,jude1257,jpr,,Agnes Korn (Iranian [Indo-European])
earlysranan,Early Sranan,South America,5.83,-55.33,sran1240,srn,,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
eastkhantic,East Khantic,Eurasia,62.4308,66.1218,khan1273,kca,,Juha Janhunen (Uralic)
ecuadorianquichua,Ecuadorian Quichua,,,,colo1257,,,Willem F. H. Adelaar (Quechua and Aymara)
emai,Emai,Africa,7.09089,5.84494,emai1241,ema,,"Ronald P. Schaefer & Francis O. Egbokhare (Emai [Edoid, Niger-Congo])"
estonian,Estonian,Eurasia,58.55,25.82,esto1258,ekk,,Juha Janhunen (Uralic)
even,Even,Eurasia,70.6687,130.914,even1260,eve,,"Andrej Malchukov (Tungusic [Manchu-Tungusic, Transeurasian])"
