ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
hoocak-modality,hoocak,modality,IMPERATIVE marker,,=re,
hoocak-pronoun-proverb,hoocak,pronoun-proverb,"PERSONAL PRO (3rd person, emphatic)",,'ee,
hoocak-verbal-categories-other,hoocak,verbal-categories-other,QUOTATIVE marker,,=že/=še,
hoocak-word-class-change,hoocak,word-class-change,ADVERBIALIZER (TEMPORAL),,=re,
huanca-definiteness,huanca,definiteness,DEFINITE DETERMINER,,"-kaʔ, -ka:",
hungarian-case-adposition,hungarian,case-adposition,SUPERESSIVE,,-(V)n,
hungarian-definiteness,hungarian,definiteness,DEFINITE article,,a/z,
hungarian-other,hungarian,other,"inside, interior' / TEMPORAL marker",,bel- / =kor,
hungarian-tense,hungarian,tense,FUTURE aux,,fog,
italian-aspect,italian,aspect,change of state / HABITUAL,,andare / andare,
italian-modality,italian,modality,succeed' / ABILITY,,arrivare / arrivare,
italian-pronoun-proverb,italian,pronoun-proverb,"pro-verb / personal pronoun '(to) us/ourselves' / personal pronoun, 3SG.M",,"fare / ci / lui, egli",
italian-valency-change,italian,valency-change,"PASSIVE (+ PAST.PARTICIPLE/INF) (e.g., si vide. RFL see.PST.3SG/si videro RFL see.PST.3PL)",,veder-si (+V),
italian-conjunction,italian,conjunction,marker of adverbial  (temporal) clause,,quando,
italian-relativization,italian,relativization,RELATIVIZER,,dove,
jamaican-tense,jamaican,tense,PAST,,wehn,
japhug-conjunction,japhug,conjunction,CONDITIONAL (SUBORDINATOR) / CAUSAL SUBORDINATOR ('for this reason') / PURPOSIVE linker (SUBORDINATOR) / PURPOSIVE linker (SUBORDINATOR) / alternative CONJUNCTION 'whether',,apɯŋu / núndʐa / ɯspa / nɯmga / me,
japhug-information-structure-devices,japhug,information-structure-devices,delimitive TOPIC marker / FOCUS / aforementioned TOPIC marker,,pɯpɯŋunɤ / ŋu / jiɕqha,
japhug-pronoun-proverb,japhug,pronoun-proverb,PERSONAL PRO (3rd person) / INDEFINITE PRONOUN,,nɯ / tɯrme,
japhug-case-adposition,japhug,case-adposition,(3SG-) DATIVE marker / COMITATIVE,,ɯ-ɕki / ɯ-rca,
japhug-evaluative,japhug,evaluative,DIMINUTIVE,,-pɯ,
japhug-other,japhug,other,INTENSIVE(-REFLEXIVE),,-ʑo,
japhug-valency-change,japhug,valency-change,REFLEXIVE / periphrastic CAUSATIVE / ANTIPASSIVE voice marker,,-ʑɣɤ- / sɯβzu / rɤ-,
japhug-verbal-categories-other,japhug,verbal-categories-other,UNEXPECTEDNESS marker,,rcanɯ,
japhug-verbal-deixis,japhug,verbal-deixis,ANDATIVE prefix / VENITIVE prefix,,"ɕɯ-, ɕ-, s-, z- / ɣɯ-",
japhug-number,japhug,number,DUAL clitic,,=ni,
japhug-aspect,japhug,aspect,PAST IMPERFECTIVE marker,,"pɯ-, pjɤ-",
japhug-evidential,japhug,evidential,SENSORY prefix (EVIDENTIAL: knowledge mediated through observation or second hand) / EGOPHORIC prefix (EVIDENTIAL: personally experienced knowledge),,ɲɯ- / ku-,
jubaarabic-valency-change,jubaarabic,valency-change,CAUSATIVE,,amulu,
jula-possession,jula,possession,GENITIVE (alienable) postposition,,tá,
ket-agreement,ket,agreement,Nominal Subject AGREEMENT Suffix / 3rd PERSON AGREEMENT marker / Adjective PLURAL AGREEMENT marker,,-du / -jə / -ŋ,
ket-aspect,ket,aspect,ITERATIVE / ITERATIVE for transitive verbs / STATIVE-RESULTATIVE Circumfix,,-iŋ / -bɛt / -ja- + -aj,
ket-conjunction,ket,conjunction,CONDITIONAL / COMPLEMENTIZER / subordinate clause suffix (temporal subordinator),,sim / bila / -kupka,
ket-modality,ket,modality,OPTATIVE,,qān,
ket-number,ket,number,"PLURAL, PLURACTIONAL marker / Event PLURALITY",,-ŋ / -(V)ŋ,
ket-tense,ket,tense,PAST / PROX FUTURE,,-in / qam,
ket-case-adposition,ket,case-adposition,DATIVE / top of / between' (postposition) / CARITIVE case marker,,-a / =ʌʌd= / =bal= / -an,
ket-valency-change,ket,valency-change,TRANSITIVIZER for motion verbs / (INCEPTIVE) CAUSATIVE,,-k- / -q-...-it,
ket-relativization,ket,relativization,RELATIVIZER,,qorɛ,
ket-word-class-change,ket,word-class-change,INFINITIVE,,ø,
khmer-case-adposition,khmer,case-adposition,"COMITATIVE marker / in the function of, as' (preposition) / until' / ACCORDING TO (preposition) / INSTRUMENTAL (used only with vehicles) / INSTRUMENTAL (general) / MATERIAL (in the sense of 'made of') / BENEFACTIVE (preposition) / DATIVE / 'together'/COMITATIVE / INSTRUMENTAL marker / LOCATIVE preposition / ALLATIVE / preposition indicating DIRECTION to GOAL near speaker / SPATIAL ALONG/PATH / ALLATIVE / LOCATIVE marker (prefix of relational noun)",,cì:ǝ / cì:ǝ / dɔl / ta:m / ta:m / daoy / daoy / Ɂaoy / Ɂaoy / cì:ǝmù:ǝynɯ̒ŋ / yɔ̀:k / nɤ̀u / dɔl / mɔ̀:k / ta:m / tɤ̀u / kha:ŋ-,
khmer-conjunction,khmer,conjunction,CONCESSIVE / CONSECUTIVE / COORDINATIVE particle 'and' / adverbial SUBORDINATOR: CAUSE / PURPOSE / MANNER / COMPLEMENTIZER,,cì:ǝ / rù:ǝc / haǝy(-nɯ̒ŋ) / daoy / Ɂaoy / Ɂaoy / Ɂaoy,
khmer-verbal-categories-other,khmer,verbal-categories-other,QUOTATIVE marker / QUOTATIVE marker,,cì:ǝ / tha:,
khmer-word-class-change,khmer,word-class-change,"derivational marker (of many adverbs, ""ADVERBIALIZER"") / marker of adverbials (""ADVERBIALIZER"")",,cì:ǝ / daoy,
khmer-definiteness,khmer,definiteness,DEFINITENESS / INDEFINITNESS,,nùh / mù:ǝy,
khmer-valency-change,khmer,valency-change,INTENSIFIER-REFLEXIVE / CAUSATIVE / CAUSATIVE,,khlu:ǝn / thvɤ̀ / Ɂaoy,
khmer-aspect,khmer,aspect,COMPLETIVE / PERFECTIVE / INCREMENTAL DEVELOPMENT / CONTINUOUS,,cɔp / haǝy / tɤ̀u / nɤ̀u,
khmer-modality,khmer,modality,ABILITY / PERMISSIVE / POSSIBILITY / succeed' / HORTATIVE,,ba:n / ba:n / ba:n / ba:n / tɤ̀u,
khmer-noun-classification,khmer,noun-classification,CLASSIFIER,,kba:l,
khmer-other,khmer,other,EGRESSIVE (DIRECTIONAL verb),,ceɲ,
khmer-possession,khmer,possession,POSSESSION marker,,rǝbɔh,
